Month,Kim Kardashian: (Worldwide),Khloé Kardashian: (Worldwide),Kourtney Kardashian: (Worldwide),Kendall Jenner: (Worldwide),Kylie Jenner: (Worldwide)
2007-01,2,<1,<1,<1,2
2007-02,12,<1,<1,<1,2
2007-03,9,<1,<1,<1,1
2007-04,6,<1,<1,<1,1
2007-05,6,<1,<1,<1,1
2007-06,5,<1,<1,<1,1
2007-07,6,<1,<1,<1,1
2007-08,6,<1,<1,<1,1
2007-09,7,<1,<1,<1,1
2007-10,13,<1,<1,<1,2
2007-11,17,<1,<1,<1,2
2007-12,16,<1,1,<1,2
2008-01,13,<1,<1,<1,2
2008-02,9,<1,<1,<1,2
2008-03,13,<1,<1,<1,2
2008-04,15,<1,<1,<1,2
2008-05,14,<1,<1,<1,2
2008-06,13,<1,<1,<1,2
2008-07,12,1,<1,<1,2
2008-08,15,<1,<1,<1,1
2008-09,14,<1,<1,<1,1
2008-10,13,<1,<1,<1,1
2008-11,10,<1,<1,<1,1
2008-12,12,1,<1,<1,1
2009-01,12,<1,<1,<1,1
2009-02,11,<1,<1,<1,1
2009-03,13,1,1,<1,1
2009-04,15,1,1,<1,1
2009-05,14,1,1,<1,1
2009-06,12,1,1,<1,1
2009-07,15,1,1,<1,1
2009-08,16,2,4,<1,1
2009-09,14,6,3,<1,1
2009-10,13,4,2,<1,1
2009-11,14,3,2,<1,1
2009-12,16,3,3,<1,1
2010-01,18,2,2,<1,1
2010-02,19,2,3,1,1
2010-03,18,2,2,<1,1
2010-04,25,2,2,<1,1
2010-05,19,2,1,<1,1
2010-06,20,4,3,1,1
2010-07,22,4,4,1,2
2010-08,26,4,4,2,1
2010-09,25,3,2,1,1
2010-10,27,2,2,1,1
2010-11,21,2,2,1,1
2010-12,25,2,2,1,1
2011-01,26,3,4,1,1
2011-02,34,2,3,1,1
2011-03,22,2,3,1,1
2011-04,19,4,2,1,1
2011-05,22,4,2,1,1
2011-06,25,5,2,1,1
2011-07,21,3,2,1,1
2011-08,44,3,3,3,2
2011-09,29,3,2,2,1
2011-10,35,3,2,1,1
2011-11,50,3,4,2,1
2011-12,31,4,6,2,2
2012-01,30,6,6,2,1
2012-02,25,4,4,2,1
2012-03,26,4,3,2,1
2012-04,28,5,3,2,1
2012-05,26,5,3,2,2
2012-06,31,3,3,2,2
2012-07,27,3,7,3,2
2012-08,27,3,4,2,2
2012-09,26,4,4,2,2
2012-10,24,4,3,2,2
2012-11,24,5,3,2,2
2012-12,28,3,2,2,2
2013-01,36,4,4,2,2
2013-02,28,3,4,2,2
2013-03,32,3,4,2,2
2013-04,35,3,4,2,2
2013-05,30,3,3,2,2
2013-06,60,4,3,3,3
2013-07,29,4,3,3,3
2013-08,28,7,4,3,4
2013-09,21,7,2,2,3
2013-10,33,6,2,2,3
2013-11,28,5,2,7,3
2013-12,28,6,2,6,3
2014-01,25,6,2,5,3
2014-02,22,5,2,7,3
2014-03,23,5,2,4,4
2014-04,23,4,2,3,4
2014-05,35,4,2,5,6
2014-06,31,6,5,6,5
2014-07,35,6,3,4,5
2014-08,35,5,3,5,6
2014-09,43,4,3,5,5
2014-10,28,4,2,4,6
2014-11,100,7,5,5,8
2014-12,38,6,8,6,8
2015-01,33,5,4,5,9
2015-02,39,6,3,7,12
2015-03,36,5,3,6,10
2015-04,30,5,3,9,25
2015-05,32,5,3,9,16
2015-06,36,5,3,7,13
2015-07,31,7,8,8,17
2015-08,34,6,4,8,24
2015-09,29,5,3,7,20
2015-10,27,12,4,7,13
2015-11,24,7,4,10,18
2015-12,37,7,8,9,19
2016-01,25,8,5,11,15
2016-02,28,8,3,8,16
2016-03,44,5,4,8,16
2016-04,25,5,3,8,20
2016-05,24,5,3,7,21
2016-06,24,7,3,7,19
2016-07,30,6,4,6,21
2016-08,26,4,3,6,23
2016-09,25,5,2,6,16
2016-10,42,5,2,5,16
2016-11,20,4,2,7,20
2016-12,21,4,2,6,20
2017-01,20,4,2,5,16
2017-02,17,3,2,4,14
2017-03,15,3,2,4,11
2017-04,20,3,3,8,13
2017-05,17,3,3,6,12
2017-06,16,4,2,4,13
2017-07,17,3,2,4,13
2017-08,14,3,2,4,15
2017-09,18,6,2,4,31
2017-10,19,5,3,5,15
2017-11,20,5,2,4,14
2017-12,16,6,3,3,15
2018-01,23,6,3,4,17
2018-02,21,5,3,4,35
2018-03,15,5,2,4,12
2018-04,18,23,3,4,10
2018-05,17,7,2,5,12
2018-06,17,4,2,4,8
2018-07,16,4,3,4,17
2018-08,19,4,5,4,13
2018-09,14,3,2,6,9
2018-10,15,3,2,3,8
